date,confirm,region
2022-02-19,1407,Saskatchewan
2022-02-19,0,Yukon
2022-02-20,520,Alberta
2022-02-20,571,British Columbia
2022-02-20,0,Manitoba
2022-02-20,0,New Brunswick
2022-02-20,124,Newfoundland and Labrador
2022-02-20,0,Northwest Territories
2022-02-20,214,Nova Scotia
2022-02-20,0,Nunavut
2022-02-20,1966,Ontario
2022-02-20,211,Prince Edward Island
2022-02-20,1197,Quebec
2022-02-20,0,Repatriated Travellers
2022-02-20,0,Saskatchewan
2022-02-20,0,Yukon
2022-02-21,509,Alberta
2022-02-21,424,British Columbia
2022-02-21,611,Manitoba
2022-02-21,0,New Brunswick
2022-02-21,237,Newfoundland and Labrador
2022-02-21,217,Northwest Territories
2022-02-21,0,Nova Scotia
2022-02-21,136,Nunavut
2022-02-21,1335,Ontario
2022-02-21,196,Prince Edward Island
2022-02-21,1064,Quebec
2022-02-21,0,Repatriated Travellers
2022-02-21,0,Saskatchewan
2022-02-21,0,Yukon
2022-02-22,497,Alberta
2022-02-22,477,British Columbia
2022-02-22,199,Manitoba
2022-02-22,1148,New Brunswick
2022-02-22,246,Newfoundland and Labrador
2022-02-22,122,Northwest Territories
2022-02-22,111,Nova Scotia
2022-02-22,0,Nunavut
2022-02-22,1282,Ontario
2022-02-22,0,Prince Edward Island
2022-02-22,1438,Quebec
2022-02-22,0,Repatriated Travellers
2022-02-22,0,Saskatchewan
2022-02-22,35,Yukon
2022-02-23,791,Alberta
2022-02-23,462,British Columbia
2022-02-23,361,Manitoba
2022-02-23,300,New Brunswick
2022-02-23,248,Newfoundland and Labrador
2022-02-23,71,Northwest Territories
2022-02-23,200,Nova Scotia
2022-02-23,93,Nunavut
2022-02-23,1425,Ontario
2022-02-23,554,Prince Edward Island
2022-02-23,1861,Quebec
2022-02-23,0,Repatriated Travellers
2022-02-23,0,Saskatchewan
2022-02-23,8,Yukon
2022-02-24,682,Alberta
2022-02-24,597,British Columbia
2022-02-24,315,Manitoba
2022-02-24,365,New Brunswick
2022-02-24,287,Newfoundland and Labrador
2022-02-24,99,Northwest Territories
2022-02-24,187,Nova Scotia
2022-02-24,48,Nunavut
2022-02-24,2404,Ontario
2022-02-24,412,Prince Edward Island
2022-02-24,1517,Quebec
2022-02-24,0,Repatriated Travellers
2022-02-24,0,Saskatchewan
2022-02-24,14,Yukon
2022-02-25,595,Alberta
2022-02-25,538,British Columbia
2022-02-25,305,Manitoba
2022-02-25,382,New Brunswick
2022-02-25,392,Newfoundland and Labrador
2022-02-25,88,Northwest Territories
2022-02-25,170,Nova Scotia
2022-02-25,0,Nunavut
2022-02-25,2427,Ontario
2022-02-25,303,Prince Edward Island
2022-02-25,1542,Quebec
2022-02-25,0,Repatriated Travellers
2022-02-25,0,Saskatchewan
2022-02-25,0,Yukon
2022-02-26,594,Alberta
2022-02-26,398,British Columbia
2022-02-26,0,Manitoba
2022-02-26,0,New Brunswick
2022-02-26,296,Newfoundland and Labrador
2022-02-26,0,Northwest Territories
2022-02-26,322,Nova Scotia
2022-02-26,0,Nunavut
2022-02-26,2338,Ontario
2022-02-26,0,Prince Edward Island
